cod_matricula,max_fecha_plano,max_fecha_sap,id_zre,cod_naturaleza_juridica,naturaleza_juridica,anio,mes,id_usuario
5138581,2025-01-31,2023-03-02,01N,0125,COMPRAVENTA,2025,1,101
5139470,2024-12-31,2009-01-16,01N,0113,ADJUDICACION LIQUIDACION SOCIEDAD PATRIMONIAL DE HECHO,2024,12,101
5140016,2024-09-30,2018-04-30,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,9,101
5140264,2024-08-31,2024-07-10,01N,0125,COMPRAVENTA,2024,8,101
5141068,2024-10-31,2024-10-25,01N,0125,COMPRAVENTA,2024,10,101
5141661,2024-10-31,2010-05-26,01N,0125,COMPRAVENTA,2024,10,101
5142127,2025-01-31,2010-11-24,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2025,1,101
5142373,2023-12-31,2014-11-26,01N,0125,COMPRAVENTA,2023,12,101
5142433,2024-09-30,2018-10-11,01N,0125,COMPRAVENTA,2024,9,101
5143344,2024-06-30,2024-06-11,01N,0125,COMPRAVENTA,2024,6,101
5144549,2024-08-31,2013-02-25,01N,0125,COMPRAVENTA,2024,8,101
5144893,2024-01-31,2023-03-03,01N,0125,COMPRAVENTA,2024,1,101
5145673,2024-11-30,2019-09-20,01N,0125,COMPRAVENTA,2024,11,101
5146310,2025-03-31,2012-05-08,01N,0125,COMPRAVENTA,2025,3,101
5147292,2025-03-31,2017-08-14,01N,0125,COMPRAVENTA,2025,3,101
5147573,2024-11-30,2004-12-27,01N,0109,ADJUDICACION EN SUCESION,2024,11,101
5147682,2023-11-30,2022-12-01,01N,0125,COMPRAVENTA,2023,11,101
5148013,2024-08-31,2012-09-13,01N,0125,COMPRAVENTA,2024,8,101
